"Date","Samsung","Apple","Xiaomi","Motorola","Unknown","Oppo","Huawei","Tecno","Vivo","Honor","Infinix","Google","Realme","ZTE","Nokia","Mixc","LG","Lenovo","OnePlus","TCL","Asus","Sony","Alcatel","Other"
2025-01,23.76,27.22,19.11,11.53,2.47,2.71,3.15,2.03,2.13,1.85,0.93,0.31,0.88,0.54,0.45,0.23,0.24,0.17,0.08,0.08,0.03,0.02,0.02,0.05
2025-02,21.82,32.98,17.79,10.82,2.27,2.38,2.94,1.69,1.96,1.78,0.8,0.3,0.86,0.43,0.36,0.21,0.23,0.13,0.08,0.06,0.03,0.02,0.02,0.04
2025-03,23.19,27.9,18.75,11.32,3.04,2.94,3,1.72,2.27,1.99,0.84,0.42,0.9,0.46,0.4,0.21,0.22,0.14,0.08,0.07,0.03,0.03,0.02,0.05
2025-04,23.41,27.08,17.7,11.54,3.74,3.38,2.81,1.68,2.15,1.87,0.75,1.43,0.82,0.42,0.38,0.19,0.22,0.16,0.09,0.07,0.03,0.01,0.02,0.04
2025-05,25.44,14.19,26.3,9.53,6.83,3.39,2.28,3.45,2.74,1.88,1.36,0.62,0.65,0.43,0.26,0.22,0.19,0.07,0.06,0.04,0.01,0.01,0.01,0.02
2025-06,26.56,8.69,28,10.09,7.77,3.97,2.25,4.44,2.55,2.18,1.1,0.38,0.72,0.46,0.25,0.22,0.14,0.06,0.07,0.06,0.01,0,0,0.04
2025-07,22.79,28.32,17.31,11.62,4.06,3.36,2.53,1.56,2.15,2.03,0.75,1.26,0.8,0.39,0.36,0.18,0.16,0.14,0.09,0.06,0.03,0.01,0.01,0.03
2025-08,23.03,28.87,16.66,11.6,4.26,3.29,2.49,1.47,2.13,1.98,0.72,1.21,0.81,0.39,0.43,0.15,0.16,0.15,0.08,0.06,0.03,0.01,0.01,0.03
2025-09,22.72,30.41,15.67,11.01,4.14,3.14,2.25,1.41,2.05,1.88,0.67,2.43,0.75,0.36,0.39,0.24,0.15,0.12,0.08,0.06,0.03,0.01,0.01,0.03
2025-10,22.23,32.53,15.22,10.97,4.2,3.16,2.03,1.39,2,1.87,0.64,1.78,0.69,0.32,0.3,0.18,0.14,0.12,0.08,0.07,0.02,0.01,0.01,0.02
2025-11,21.67,35.01,14.85,11.08,4.26,3.11,1.96,1.37,2.03,1.89,0.61,0.29,0.69,0.31,0.26,0.16,0.12,0.11,0.11,0.06,0.02,0.01,0.01,0.02
2025-12,21.25,36.36,14.59,10.99,4.04,3.1,1.89,1.22,1.97,1.81,0.63,0.31,0.7,0.31,0.25,0.15,0.11,0.1,0.11,0.05,0.02,0.01,0.01,0.02
